wc,age_int,win_rate,n
bantamweight,21,0.8,10
bantamweight,22,0.625,16
bantamweight,23,0.6,40
bantamweight,24,0.5660377358490566,53
bantamweight,25,0.5652173913043478,92
bantamweight,26,0.5535714285714286,112
bantamweight,27,0.5107913669064749,139
bantamweight,28,0.5323741007194245,139
bantamweight,29,0.5140845070422535,142
bantamweight,30,0.5172413793103449,145
bantamweight,31,0.4262295081967213,122
bantamweight,32,0.46601941747572817,103
bantamweight,33,0.42696629213483145,89
bantamweight,34,0.417910447761194,67
bantamweight,35,0.4772727272727273,44
bantamweight,36,0.45,40
bantamweight,37,0.45714285714285713,35
bantamweight,38,0.2608695652173913,23
bantamweight,39,0.14285714285714285,7
bantamweight,40,0.3333333333333333,6
bantamweight,41,0.0,3
bantamweight,42,1.0,2
featherweight,21,0.625,8
featherweight,22,0.64,25
featherweight,23,0.5714285714285714,49
featherweight,24,0.547945205479452,73
featherweight,25,0.5520833333333334,96
featherweight,26,0.5555555555555556,126
featherweight,27,0.6308724832214765,149
featherweight,28,0.5027624309392266,181
featherweight,29,0.5310734463276836,177
featherweight,30,0.44370860927152317,151
featherweight,31,0.44594594594594594,148
featherweight,32,0.4365079365079365,126
featherweight,33,0.49473684210526314,95
featherweight,34,0.4533333333333333,75
featherweight,35,0.3709677419354839,62
featherweight,36,0.2647058823529412,34
featherweight,37,0.46153846153846156,26
featherweight,38,0.3125,16
featherweight,39,0.6666666666666666,3
featherweight,40,0.16666666666666666,6
featherweight,41,0.3333333333333333,3
featherweight,42,1.0,1
flyweight,21,0.6666666666666666,9
flyweight,22,0.7083333333333334,24
flyweight,23,0.7222222222222222,36
flyweight,24,0.5,38
flyweight,25,0.45454545454545453,44
flyweight,26,0.509090909090909,55
flyweight,27,0.578125,64
flyweight,28,0.6533333333333333,75
flyweight,29,0.4634146341463415,82
flyweight,30,0.44155844155844154,77
flyweight,31,0.47619047619047616,84
flyweight,32,0.4126984126984127,63
flyweight,33,0.4186046511627907,43
flyweight,34,0.34375,32
flyweight,35,0.4444444444444444,27
flyweight,36,0.2857142857142857,14
flyweight,37,0.0,3
flyweight,38,1.0,2
flyweight,39,0.0,2
heavyweight,21,0.7142857142857143,7
heavyweight,22,0.5833333333333334,12
heavyweight,23,0.45,20
heavyweight,24,0.6206896551724138,29
heavyweight,25,0.5128205128205128,39
heavyweight,26,0.5166666666666667,60
heavyweight,27,0.6172839506172839,81
heavyweight,28,0.5842696629213483,89
heavyweight,29,0.550561797752809,89
heavyweight,30,0.5591397849462365,93
heavyweight,31,0.5555555555555556,117
heavyweight,32,0.5081967213114754,122
heavyweight,33,0.4444444444444444,108
heavyweight,34,0.41964285714285715,112
heavyweight,35,0.4936708860759494,79
heavyweight,36,0.3875,80
heavyweight,37,0.38181818181818183,55
heavyweight,38,0.37142857142857144,35
heavyweight,39,0.5,28
heavyweight,40,0.42857142857142855,28
heavyweight,41,0.5555555555555556,9
heavyweight,42,0.4166666666666667,12
light heavyweight,21,0.6,5
light heavyweight,22,0.5714285714285714,14
light heavyweight,23,0.7142857142857143,14
light heavyweight,24,0.5789473684210527,38
light heavyweight,25,0.52,50
light heavyweight,26,0.5903614457831325,83
light heavyweight,27,0.4666666666666667,105
light heavyweight,28,0.5727272727272728,110
light heavyweight,29,0.4732142857142857,112
light heavyweight,30,0.5538461538461539,130
light heavyweight,31,0.4965034965034965,143
light heavyweight,32,0.46153846153846156,130
light heavyweight,33,0.504950495049505,101
light heavyweight,34,0.45161290322580644,93
light heavyweight,35,0.4583333333333333,72
light heavyweight,36,0.5238095238095238,63
light heavyweight,37,0.43902439024390244,41
light heavyweight,38,0.4,35
light heavyweight,39,0.5909090909090909,22
light heavyweight,40,0.3333333333333333,15
light heavyweight,41,0.3333333333333333,9
light heavyweight,42,0.26666666666666666,15
lightweight,21,0.5263157894736842,19
lightweight,22,0.5789473684210527,38
lightweight,23,0.6153846153846154,78
lightweight,24,0.5378787878787878,132
lightweight,25,0.526595744680851,188
lightweight,26,0.5089285714285714,224
lightweight,27,0.6260162601626016,246
lightweight,28,0.5355805243445693,267
lightweight,29,0.5036764705882353,272
lightweight,30,0.5209125475285171,263
lightweight,31,0.4666666666666667,225
lightweight,32,0.46798029556650245,203
lightweight,33,0.4344262295081967,122
lightweight,34,0.4153846153846154,130
lightweight,35,0.3804347826086957,92
lightweight,36,0.3684210526315789,76
lightweight,37,0.3888888888888889,36
lightweight,38,0.23076923076923078,26
lightweight,39,0.32,25
lightweight,40,0.3333333333333333,12
lightweight,41,0.4,10
lightweight,42,0.0,3
middleweight,21,0.8333333333333334,6
middleweight,22,0.35294117647058826,17
middleweight,23,0.5526315789473685,38
middleweight,24,0.5,52
middleweight,25,0.5869565217391305,92
middleweight,26,0.5684931506849316,146
middleweight,27,0.5433526011560693,173
middleweight,28,0.4666666666666667,165
middleweight,29,0.5212765957446809,188
middleweight,30,0.5462555066079295,227
middleweight,31,0.5420560747663551,214
middleweight,32,0.5,178
middleweight,33,0.48823529411764705,170
middleweight,34,0.39436619718309857,142
middleweight,35,0.40594059405940597,101
middleweight,36,0.5205479452054794,73
middleweight,37,0.36666666666666664,60
middleweight,38,0.38235294117647056,34
middleweight,39,0.4090909090909091,22
middleweight,40,0.45454545454545453,11
middleweight,41,0.16666666666666666,6
middleweight,42,0.0,3
welterweight,21,0.5555555555555556,18
welterweight,22,0.5102040816326531,49
welterweight,23,0.525,80
welterweight,24,0.5922330097087378,103
welterweight,25,0.5,138
welterweight,26,0.5317919075144508,173
welterweight,27,0.5320197044334976,203
welterweight,28,0.5191489361702127,235
welterweight,29,0.5020242914979757,247
welterweight,30,0.5545851528384279,229
welterweight,31,0.4708333333333333,240
welterweight,32,0.5306122448979592,196
welterweight,33,0.5,182
welterweight,34,0.4968152866242038,157
welterweight,35,0.3770491803278688,122
welterweight,36,0.47368421052631576,95
welterweight,37,0.3384615384615385,65
welterweight,38,0.41509433962264153,53
welterweight,39,0.2727272727272727,22
welterweight,40,0.25,16
welterweight,41,0.6,10
welterweight,42,0.2,5
women's bantamweight,21,0.0,2
women's bantamweight,22,0.8,5
women's bantamweight,23,0.4166666666666667,12
women's bantamweight,24,0.4,10
women's bantamweight,25,0.631578947368421,19
women's bantamweight,26,0.6818181818181818,22
women's bantamweight,27,0.5405405405405406,37
women's bantamweight,28,0.6097560975609756,41
women's bantamweight,29,0.5416666666666666,48
women's bantamweight,30,0.4594594594594595,37
women's bantamweight,31,0.5,38
women's bantamweight,32,0.4146341463414634,41
women's bantamweight,33,0.625,32
women's bantamweight,34,0.4,40
women's bantamweight,35,0.46875,32
women's bantamweight,36,0.45,20
women's bantamweight,37,0.46153846153846156,13
women's bantamweight,38,0.3333333333333333,6
women's bantamweight,39,0.6666666666666666,3
women's bantamweight,40,0.2857142857142857,7
women's bantamweight,41,0.5,4
women's bantamweight,42,0.0,1
women's flyweight,21,0.75,4
women's flyweight,22,0.6363636363636364,11
women's flyweight,23,0.72,25
women's flyweight,24,0.391304347826087,23
women's flyweight,25,0.5172413793103449,29
women's flyweight,26,0.6428571428571429,28
women's flyweight,27,0.4594594594594595,37
women's flyweight,28,0.5405405405405406,37
women's flyweight,29,0.5581395348837209,43
women's flyweight,30,0.4375,48
women's flyweight,31,0.5294117647058824,51
women's flyweight,32,0.5319148936170213,47
women's flyweight,33,0.3958333333333333,48
women's flyweight,34,0.3939393939393939,33
women's flyweight,35,0.38461538461538464,26
women's flyweight,36,0.45454545454545453,22
women's flyweight,37,0.7692307692307693,13
women's flyweight,38,0.2857142857142857,7
women's flyweight,39,0.0,3
women's flyweight,41,0.0,1
women's strawweight,21,0.6666666666666666,6
women's strawweight,22,0.36363636363636365,11
women's strawweight,23,0.7272727272727273,22
women's strawweight,24,0.6333333333333333,30
women's strawweight,25,0.5365853658536586,41
women's strawweight,26,0.4878048780487805,41
women's strawweight,27,0.5818181818181818,55
women's strawweight,28,0.5689655172413793,58
women's strawweight,29,0.5584415584415584,77
women's strawweight,30,0.4189189189189189,74
women's strawweight,31,0.47368421052631576,57
women's strawweight,32,0.4642857142857143,56
women's strawweight,33,0.5476190476190477,42
women's strawweight,34,0.4857142857142857,35
women's strawweight,35,0.4117647058823529,34
women's strawweight,36,0.4,25
women's strawweight,37,0.3888888888888889,18
women's strawweight,38,0.25,12
women's strawweight,39,0.14285714285714285,7
women's strawweight,40,0.25,4
women's strawweight,41,0.0,1
